year,manufacturer,model,boltpattern,centerbore,front_wheelsize,rear_wheelsize,oe_tiresize,oe_tiresize,oe_tiresize,oe_tiresize,oe_tiresize,oe_staggered_tiresize,oe_staggered_tiresize,oe_staggered_tiresize,oe_staggered_tiresize,plus_tiresize,plus_tiresize,plus_tiresize,plus_tiresize,plus_tiresize,plus_tiresize,plus_tiresize,plus_staggered_tiresize,plus_staggered_tiresize,plus_staggered_tiresize,plus_staggered_tiresize
2013,ACURA,ILX 1.5L HYBRID,5x114.3,64.1,"35,45:7,8:16,20",,"205,55,r,16",,,,,,,,,"215,45,r,17","225,40,r,18","225,35,r,19","225,30,r,20",,,,,,,
2013,ACURA,ILX 2.0L,5x114.3,64.1,"35,45:7,8:16,20",,"205,55,r,16","215,45,r,17",,,,,,,,"225,40,r,18","225,35,r,19","225,30,r,20",,,,,,,,
2013,ACURA,ILX 2.4L,5x114.3,64.1,"35,45:7,8:17,20",,"215,45,r,17",,,,,,,,,"225,40,r,18","225,35,r,19","225,30,r,20",,,,,,,,
2013,ACURA,MDX,5x120,64.1,"25,42:8,9.5:18,24",,"255,55,r,18","255,50,r,19",,,,,,,,"255,45,r,20","265,35,r,22","275,30,r,24",,,,,,,,
2013,ACURA,RDX,5x114.3,64.1,"34,42:8,8.5:18,22",,"235,60,r,18",,,,,,,,,"245,55,r,19","245,50,r,20","245,40,r,22",,,,,,,,
2013,ACURA,TL,5x120,64.1,"34,45:7.5,8.5:18,22",,"245,50,r,17","245,45,r,18",,,,,,,,"245,40,r,19","255,35,r,20","245,30,r,22",,,,,,,,
2013,ACURA,TL SH-AWD,5x120,64.1,"34,45:7.5,8.5:18,22",,"245,45,r,18","245,40,r,19",,,,,,,,"255,35,r,20","245,30,r,22",,,,,,,,,
2013,ACURA,TSX 4 CYL,5x114.3,64.1,"38,45:7.5,8.5:17,20",,"225,50,r,17","235,45,r,18",,,,,,,,"255,35,r,19","255,30,r,20",,,,,,,,,
2013,ACURA,TSX 6 CYL,5x114.3,64.1,"38,45:7.5,8.5:18,20",,"235,45,r,18",,,,,,,,,"255,35,r,19","255,30,r,20",,,,,,,,,
2013,ACURA,TSX SPORT WAGON,5x114.3,64.1,"38,45:7.5,8.5:17,20",,"225,50,r,17",,,,,,,,,"235,45,r,18","255,35,r,19","255,30,r,20",,,,,,,,
2013,ACURA,ZDX,5x120,64.1,"34,45:8.5.9.5:19,22",,"255,50,r,19",,,,,,,,,"265,45,r,20","265,35,r,22",,,,,,,,,
2014,ACURA,ILX 1.5L HYBRID,5x114.3,64.1,"35,45:7,8:16,20",,"205,55,r,16",,,,,,,,,"215,45,r,17","225,40,r,18","225,35,r,19","225,30,r,20",,,,,,,
2014,ACURA,ILX 2.0L,5x114.3,64.1,"35,45:7,8:16,20",,"205,55,r,16","215,45,r,17",,,,,,,,"225,40,r,18","225,35,r,19","225,30,r,20",,,,,,,,
2014,ACURA,ILX 2.4L,5x114.3,64.1,"35,45:7,8:17,20",,"215,45,r,17",,,,,,,,,"225,40,r,18","225,35,r,19","225,30,r,20",,,,,,,,
2014,ACURA,MDX,5x120,64.1,"25,42:8,9.5:18,24",,"255,55,r,18","255,50,r,19",,,,,,,,"255,45,r,20","265,35,r,22","275,30,r,24",,,,,,,,
2014,ACURA,RDX,5x114.3,64.1,"34,42:8,8.5:18,22",,"235,60,r,18",,,,,,,,,"245,55,r,19","245,50,r,20","245,40,r,22",,,,,,,,
2014,ACURA,TL,5x120,64.1,"34,45:7.5,8.5:18,22",,"245,50,r,17","245,45,r,18",,,,,,,,"245,40,r,19","255,35,r,20","245,30,r,22",,,,,,,,
2014,ACURA,TL SH-AWD,5x120,64.1,"34,45:7.5,8.5:18,22",,"245,45,r,18","245,40,r,19",,,,,,,,"255,35,r,20","245,30,r,22",,,,,,,,,
2014,ACURA,TSX 4 CYL,5x114.3,64.1,"38,45:7.5,8.5:17,20",,"225,50,r,17","235,45,r,18",,,,,,,,"255,35,r,19","255,30,r,20",,,,,,,,,
2014,ACURA,TSX 6 CYL,5x114.3,64.1,"38,45:7.5,8.5:18,20",,"235,45,r,18",,,,,,,,,"255,35,r,19","255,30,r,20",,,,,,,,,
2014,ACURA,TSX SPORT WAGON,5x114.3,64.1,"38,45:7.5,8.5:17,20",,"225,50,r,17",,,,,,,,,"235,45,r,18","255,35,r,19","255,30,r,20",,,,,,,,
2014,ACURA,ZDX,5x120,64.1,"34,45:8.5.9.5:19,22",,"255,50,r,19",,,,,,,,,"265,45,r,20","265,35,r,22",,,,,,,,,
2015,ACURA,ILX,5x114.3,64.1,"35,45:7,8:17,20",,"215,45,r,17",,,,,,,,,"225,40,r,18","225,35,r,19","225,30,r,20",,,,,,,,
2015,ACURA,ILX A-SPEC PACKAGE,5x114.3,64.1,"35,45:7,8:17,20",,"225,40,r,18",,,,,,,,,"225,35,r,19","245,30,r,22",,,,,,,,,
2015,ACURA,MDX,5x114.3,64.1,"25,42:8,9.5:18,24",,"245,60,r,18","245,55,r,19",,,,,,,,"245,50,r,20","265,35,r,22","275,30,r,24",,,,,,,,
2015,ACURA,MDX SH-AWD,5x114.3,64.1,"25,42:8,9.5:18,24",,"245,60,r,18","245,55,r,19",,,,,,,,"245,50,r,20","265,35,r,22","275,30,r,24",,,,,,,,
2015,ACURA,RDX,5x114.3,64.1,"34,42:8,8.5:18,22",,"235,60,r,18",,,,,,,,,"245,55,r,19","245,50,r,20","245,40,r,22",,,,,,,,
2015,ACURA,RLX,5x120,64.1,,,"245,45,r,18","245,40,r,19",,,,,,,,"245,35,r,20",,,,,,,,,,
2015,ACURA,TLX 4 CYL,5x114.3,64.1,,,"225,55,r,17",,,,,,,,,"225,50,r,18","245,40,r,19",,,,,,,,,
2015,ACURA,TLX 6 CYL,5x114.3,64.1,,,"225,50,r,18",,,,,,,,,"245,40,r,19",,,,,,,,,,
2015,ACURA,TLX SH-AWD,5x114.3,64.1,,,"225,50,r,18",,,,,,,,,"245,40,r,19",,,,,,,,,,
2016,ACURA,ILX,5x114.3,64.1,"35,45:7,8:17,20",,"215,45,r,17",,,,,,,,,"225,40,r,18","225,35,r,19","225,30,r,20",,,,,,,,
2016,ACURA,ILX A-SPEC PACKAGE,5x114.3,64.1,"35,45:7,8:17,20",,"225,40,r,18",,,,,,,,,"225,35,r,19","245,30,r,22",,,,,,,,,
2016,ACURA,MDX,5x114.3,64.1,"25,42:8,9.5:18,24",,"245,60,r,18","245,55,r,19",,,,,,,,"245,50,r,20","265,35,r,22","275,30,r,24",,,,,,,,
2016,ACURA,MDX SH-AWD,5x114.3,64.1,"25,42:8,9.5:18,24",,"245,60,r,18","245,55,r,19",,,,,,,,"245,50,r,20","265,35,r,22","275,30,r,24",,,,,,,,
2016,ACURA,RDX,5x114.3,64.1,"34,42:8,8.5:18,22",,"235,60,r,18",,,,,,,,,"245,55,r,19","245,50,r,20","245,40,r,22",,,,,,,,
2016,ACURA,RLX,5x120,64.1,,,"245,45,r,18","245,40,r,19",,,,,,,,"245,35,r,20",,,,,,,,,,
2016,ACURA,RLX SPORT HYBRID SH-AWD,5x120,64.1,,,"245,45,r,18","245,40,r,19",,,,,,,,"245,35,r,20",,,,,,,,,,
2016,ACURA,TLX 4 CYL,5x114.3,64.1,,,"225,55,r,17",,,,,,,,,"225,50,r,18","245,40,r,19",,,,,,,,,
2016,ACURA,TLX 6 CYL,5x114.3,64.1,,,"225,50,r,18",,,,,,,,,"245,40,r,19",,,,,,,,,,
2016,ACURA,TLX SH-AWD,5x114.3,64.1,,,"225,50,r,18",,,,,,,,,"245,40,r,19",,,,,,,,,,
2017,ACURA,ILX,5x114.3,64.1,"35,45:7,8:17,20",,"215,45,r,17",,,,,,,,,"225,40,r,18","225,35,r,19","225,30,r,20",,,,,,,,
2017,ACURA,ILX A-SPEC PACKAGE,5x114.3,64.1,"35,45:7,8:17,20",,"225,40,r,18",,,,,,,,,"225,35,r,19","245,30,r,22",,,,,,,,,
2017,ACURA,MDX,5x114.3,64.1,"25,42:8,9.5:18,24",,"245,60,r,18","245,55,r,19",,,,,,,,"245,50,r,20","265,35,r,22","275,30,r,24",,,,,,,,
2017,ACURA,MDX SH-AWD,5x120,64.1,"25,42:8,9.5:18,24",,"245,60,r,18","245,55,r,19",,,,,,,,"245,50,r,20","265,35,r,22","275,30,r,24",,,,,,,,
2017,ACURA,RDX,5x114.3,64.1,"34,42:8,8.5:18,22",,"235,60,r,18",,,,,,,,,"245,55,r,19","245,50,r,20","245,40,r,22",,,,,,,,
2017,ACURA,RLX,5x120,64.1,,,"245,45,r,18","245,40,r,19",,,,,,,,"245,35,r,20",,,,,,,,,,
2017,ACURA,RLX SPORT HYBRID SH-AWD,5x120,64.1,,,"245,45,r,18","245,40,r,19",,,,,,,,"245,35,r,20",,,,,,,,,,
2017,ACURA,TLX 4 CYL,5x114.3,64.1,,,"225,55,r,17",,,,,,,,,"225,50,r,18","245,40,r,19",,,,,,,,,
2017,ACURA,TLX 6 CYL,5x114.3,64.1,,,"225,50,r,18",,,,,,,,,"245,40,r,19",,,,,,,,,,
2017,ACURA,TLX SH-AWD,5x114.3,64.1,,,"225,50,r,18",,,,,,,,,"245,40,r,19",,,,,,,,,,
2015,ALFA ROMEO,4C COUPE LAUNCH EDITION,5x98,58.1,,,"205,40,r,18","235,35,r,19",,,,,,,,,,,,,,,,,,
2015,ALFA ROMEO,4C COUPE OE STAGGERED 17-18,5x98,58.1,,,"205,45,r,17","235,40,r,18",,,,,,,,,,,,,,,,,,
2015,ALFA ROMEO,4C COUPE OE STAGGERED 18-19,5x98,58.1,,,"205,40,r,18","235,35,r,19",,,,,,,,,,,,,,,,,,
2015,ALFA ROMEO,4C SPYDER OE STAGGERED 17-18,5x98,58.1,,,"205,45,r,17","235,40,r,18",,,,,,,,,,,,,,,,,,
2015,ALFA ROMEO,4C SPYDER OE STAGGERED 18-19,5x98,58.1,,,"205,40,r,18","235,35,r,19",,,,,,,,,,,,,,,,,,
2016,ALFA ROMEO,4C COUPE OE STAGGERED 17-18,5x98,58.1,,,"205,45,r,17","235,40,r,18",,,,,,,,,,,,,,,,,,
2016,ALFA ROMEO,4C COUPE OE STAGGERED 18-19,5x98,58.1,,,"205,40,r,18","235,35,r,19",,,,,,,,,,,,,,,,,,
2016,ALFA ROMEO,4C SPYDER OE STAGGERED 17-18,5x98,58.1,,,"205,45,r,17","235,40,r,18",,,,,,,,,,,,,,,,,,
2016,ALFA ROMEO,4C SPYDER OE STAGGERED 18-19,5x98,58.1,,,"205,40,r,18","235,35,r,19",,,,,,,,,,,,,,,,,,
2017,ALFA ROMEO,4C COUPE OE STAGGERED 17-18,5x98,58.1,,,"205,45,r,17","235,40,r,18",,,,,,,,,,,,,,,,,,
2017,ALFA ROMEO,4C COUPE OE STAGGERED 18-19,5x98,58.1,,,"205,40,r,18","235,35,r,19",,,,,,,,,,,,,,,,,,
2017,ALFA ROMEO,4C SPYDER OE STAGGERED 17-18,5x98,58.1,,,"205,45,r,17","235,40,r,18",,,,,,,,,,,,,,,,,,
2017,ALFA ROMEO,4C SPYDER OE STAGGERED 18-19,5x98,58.1,,,"205,40,r,18","235,35,r,19",,,,,,,,,,,,,,,,,,
2013,ASTONMARTIN,DB9,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"235,40,r,19:275,35,r,19","245,35,r,20:295,30,r,20",,,,,,,,,,,,,
2013,ASTONMARTIN,DBS,5x114.3,69.8,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"245,35,r,20:295,30,r,20",,,,,,,,,,,,,,
2013,ASTONMARTIN,VANTAGE V12,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"255,35,r,19:295,30,r,19","255,30,r,20:295,25,r,20",,,,,,,,,,,,,
2013,ASTONMARTIN,VANTAGE V8,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"235,40,r,19:275,35,r,19","245,35,r,20:275,30,r,20",,,,,,,,,,,,,
2013,ASTONMARTIN,VANTAGE V8 S,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"245,40,r,19:285,35,r,19","245,35,r,20:285,30,r,20",,,,,,,,,,,,,
2014,ASTONMARTIN,DB9,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"235,40,r,19:275,35,r,19","245,35,r,20:295,30,r,20",,,,,,,,,,,,,
2014,ASTONMARTIN,DBS,5x114.3,69.8,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"245,35,r,20:295,30,r,20",,,,,,,,,,,,,,
2014,ASTONMARTIN,VANTAGE V12,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"255,35,r,19:295,30,r,19","255,30,r,20:295,25,r,20",,,,,,,,,,,,,
2014,ASTONMARTIN,VANTAGE V8,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"235,40,r,19:275,35,r,19","245,35,r,20:275,30,r,20",,,,,,,,,,,,,
2014,ASTONMARTIN,VANTAGE V8 S,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"245,40,r,19:285,35,r,19","245,35,r,20:285,30,r,20",,,,,,,,,,,,,
2015,ASTONMARTIN,DB9,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"235,40,r,19:275,35,r,19","245,35,r,20:295,30,r,20",,,,,,,,,,,,,
2015,ASTONMARTIN,RAPIDE,5x128,68.1,,,,,,,,"245,40,r,20:295,35,r,20",,,,,,,,,,,,,,
2015,ASTONMARTIN,VANQUISH,5x114.3,68.1,,,,,,,,"255,35,r,20:305,30,r,20",,,,,,,,,,,,,,
2015,ASTONMARTIN,VANTAGE V12,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"255,35,r,19:295,30,r,19","255,30,r,20:295,25,r,20",,,,,,,,,,,,,
2015,ASTONMARTIN,VANTAGE V8,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"245,40,r,19:285,35,r,19","245,35,r,20:285,30,r,20",,,,,,,,,,,,,
2015,ASTONMARTIN,VANTAGE V8 S,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"245,40,r,19:285,35,r,19","245,35,r,20:285,30,r,20",,,,,,,,,,,,,
2016,ASTONMARTIN,DB9 GT,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"235,40,r,19:275,35,r,19","245,35,r,20:295,30,r,20",,,,,,,,,,,,,
2016,ASTONMARTIN,RAPIDE,5x128,68.1,,,,,,,,"245,40,r,20:295,35,r,20",,,,,,,,,,,,,,
2016,ASTONMARTIN,VANQUISH,5x114.3,68.1,,,,,,,,"255,35,r,20:305,30,r,20",,,,,,,,,,,,,,
2016,ASTONMARTIN,VANTAGE V12,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"255,35,r,19:295,30,r,19","255,30,r,20:295,25,r,20",,,,,,,,,,,,,
2016,ASTONMARTIN,VANTAGE V8,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"245,40,r,19:285,35,r,19","245,35,r,20:285,30,r,20",,,,,,,,,,,,,
2016,ASTONMARTIN,VANTAGE V8 S,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"245,40,r,19:285,35,r,19","245,35,r,20:285,30,r,20",,,,,,,,,,,,,
2017,ASTONMARTIN,RAPIDE,5x128,68.1,,,,,,,,"245,40,r,20:295,35,r,20",,,,,,,,,,,,,,
2017,ASTONMARTIN,VANQUISH,5x114.3,68.1,,,,,,,,"255,35,r,20:305,30,r,20",,,,,,,,,,,,,,
2017,ASTONMARTIN,VANTAGE V12,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"255,35,r,19:295,30,r,19","255,30,r,20:295,25,r,20",,,,,,,,,,,,,
2017,ASTONMARTIN,VANTAGE V8,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"245,40,r,19:285,35,r,19","245,35,r,20:285,30,r,20",,,,,,,,,,,,,
2013,AUDI,A3 2.0 TDI,5x112,57.1,"32,45:7.5,8.5:17,20",,"225,45,r,17","225,40,r,18",,,,,,,,"235,35,r,19","235,30,r,20",,,,,,,,,
2013,AUDI,A3 2.0T,5x112,57.1,"32,45:7.5,8.5:17,20",,"225,45,r,17","225,40,r,18",,,,,,,,"235,35,r,19","235,30,r,20",,,,,,,,,
2013,AUDI,A4 2.0T,5x112,66.6,"32,45:7.5,8.5:18,20",,"225,50,r,17","245,45,r,17","245,40,r,18","255,35,r,19",,,,,,"255,30,r,20",,,,,,,,,,
2013,AUDI,A5 2.0T,5x112,66.6,"20,34:8,9:18,20","20,35:9.5,10:18,20","245,40,r,18","255,35,r,19",,,,,,,,"265,30,r,20",,,,,,,,,,
2013,AUDI,A6 2.0T,5x112,57.1,"32,45:7.5,8.5:17,20",,"225,55,r,17","245,45,r,18","255,40,r,19","255,35,r,20",,,,,,,,,,,,,"245,40,r,18:275,35,r,18","245,35,r,19:275,30,r,19","245,30,r,20:285,25,r,20",
2013,AUDI,A6 3.0T,5x112,57.1,"32,45:7.5,8.5:17,20",,"225,55,r,17","245,45,r,18","255,40,r,19","255,35,r,20",,,,,,,,,,,,,"245,40,r,18:275,35,r,18","245,35,r,19:275,30,r,19","245,30,r,20:285,25,r,20",
2013,AUDI,A7 3.0,5x112,66.6,"20,35:8.5,9:18,20",,"255,45,r,18","255,40,r,19","265,35,r,20",,,,,,,,,,,,,,,,,
2013,AUDI,A8,5x112,57.1,"32,45:7.5,9:18,22","35,42:9.5,10:18,20","255,45,r,19","265,40,r,20",,,,,,,,"255,45,r,18","255,40,r,19","275,35,r,20","255,30,r,22",,,,"255,45,r,18:285,40,r,18","255,40,r,19:285,35,r,19","245,40,r,20:275,35,r,20",
