year,manufacturer,model,boltpattern,centerbore,front_wheelsize,rear_wheelsize,oe_tiresize,oe_tiresize,oe_tiresize,oe_tiresize,oe_tiresize,oe_staggered_tiresize,oe_staggered_tiresize,plus_tiresize,plus_tiresize,plus_tiresize,plus_tiresize,plus_tiresize,plus_tiresize,plus_tiresize,plus_tiresize,plus_staggered_tiresize,plus_staggered_tiresize,plus_staggered_tiresize,plus_staggered_tiresize
2013,ACURA,ILX 1.5L HYBRID,5x114.3,64.1,"35,45:7,8:16,20",,"205,55,r,16",,,,,,,"215,45,r,17","225,40,r,18","225,35,r,19","225,30,r,20",,,,,,,,
2013,ACURA,ILX 2.0L,5x114.3,64.1,"35,45:7,8:16,20",,"205,55,r,16","215,45,r,17",,,,,,"225,40,r,18","225,35,r,19","225,30,r,20",,,,,,,,,
2013,ACURA,ILX 2.4L,5x114.3,64.1,"35,45:7,8:17,20",,"215,45,r,17",,,,,,,"225,40,r,18","225,35,r,19","225,30,r,20",,,,,,,,,
2013,ACURA,MDX,5x120,64.1,"25,42:8,9.5:18,24",,"255,55,r,18","255,50,r,19",,,,,,"255,45,r,20","265,35,r,22","275,30,r,24",,,,,,,,,
2013,ACURA,RDX,5x114.3,64.1,"34,42:8,8.5:18,22",,"235,60,r,18",,,,,,,"245,55,r,19","245,50,r,20","245,40,r,22",,,,,,,,,
2013,ACURA,TL,5x120,64.1,"34,45:7.5,8.5:18,22",,"245,50,r,17","245,45,r,18",,,,,,"245,40,r,19","255,35,r,20","245,30,r,22",,,,,,,,,
2013,ACURA,TL SH-AWD,5x120,64.1,"34,45:7.5,8.5:18,22",,"245,45,r,18","245,40,r,19",,,,,,"255,35,r,20","245,30,r,22",,,,,,,,,,
2013,ACURA,TSX 4 CYL,5x114.3,64.1,"38,45:7.5,8.5:17,20",,"225,50,r,17","235,45,r,18",,,,,,"255,35,r,19","255,30,r,20",,,,,,,,,,
2013,ACURA,TSX 6 CYL,5x114.3,64.1,"38,45:7.5,8.5:18,20",,"235,45,r,18",,,,,,,"255,35,r,19","255,30,r,20",,,,,,,,,,
2013,ACURA,TSX SPORT WAGON,5x114.3,64.1,"38,45:7.5,8.5:17,20",,"225,50,r,17",,,,,,,"235,45,r,18","255,35,r,19","255,30,r,20",,,,,,,,,
2013,ACURA,ZDX,5x120,64.1,"34,45:8.5.9.5:19,22",,"255,50,r,19",,,,,,,"265,45,r,20","265,35,r,22",,,,,,,,,,
2013,ASTONMARTIN,DB9,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"235,40,r,19:275,35,r,19","245,35,r,20:295,30,r,20",,,,,,,,,,,,
2013,ASTONMARTIN,DBS,5x114.3,69.8,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"245,35,r,20:295,30,r,20",,,,,,,,,,,,,
2013,ASTONMARTIN,VANTAGE V12,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"255,35,r,19:295,30,r,19","255,30,r,20:295,25,r,20",,,,,,,,,,,,
2013,ASTONMARTIN,VANTAGE V8,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"235,40,r,19:275,35,r,19","245,35,r,20:275,30,r,20",,,,,,,,,,,,
2013,ASTONMARTIN,VANTAGE V8 S,5x114.3,68.1,"38,45:8,9:19,20","38,45:9.5,10:19,20",,,,,,"245,40,r,19:285,35,r,19","245,35,r,20:285,30,r,20",,,,,,,,,,,,
2013,AUDI,A3 2.0 TDI,5x112,57.1,"32,45:7.5,8.5:17,20",,"225,45,r,17","225,40,r,18",,,,,,"235,35,r,19","235,30,r,20",,,,,,,,,,
2013,AUDI,A3 2.0T,5x112,57.1,"32,45:7.5,8.5:17,20",,"225,45,r,17","225,40,r,18",,,,,,"235,35,r,19","235,30,r,20",,,,,,,,,,
2013,AUDI,A4 2.0T,5x112,66.6,"32,45:7.5,8.5:18,20",,"225,50,r,17","245,45,r,17","245,40,r,18","255,35,r,19",,,,"255,30,r,20",,,,,,,,,,,
2013,AUDI,A5 2.0T,5x112,66.6,"20,34:8,9:18,20","20,35:9.5,10:18,20","245,40,r,18","255,35,r,19",,,,,,"265,30,r,20",,,,,,,,,,,
2013,AUDI,A6 2.0T,5x112,57.1,"32,45:7.5,8.5:17,20",,"225,55,r,17","245,45,r,18","255,40,r,19","255,35,r,20",,,,,,,,,,,,"245,40,r,18:275,35,r,18","245,35,r,19:275,30,r,19","245,30,r,20:285,25,r,20",
2013,AUDI,A6 3.0T,5x112,57.1,"32,45:7.5,8.5:17,20",,"225,55,r,17","245,45,r,18","255,40,r,19","255,35,r,20",,,,,,,,,,,,"245,40,r,18:275,35,r,18","245,35,r,19:275,30,r,19","245,30,r,20:285,25,r,20",
2013,AUDI,A7 3.0,5x112,66.6,"20,35:8.5,9:18,20",,"255,45,r,18","255,40,r,19","265,35,r,20",,,,,,,,,,,,,,,,
2013,AUDI,A8,5x112,57.1,"32,45:7.5,9:18,22","35,42:9.5,10:18,20","255,45,r,19","265,40,r,20",,,,,,"255,45,r,18","255,40,r,19","275,35,r,20","255,30,r,22",,,,,"255,45,r,18:285,40,r,18","255,40,r,19:285,35,r,19","245,40,r,20:275,35,r,20",
2013,AUDI,A8 L,5x112,57.1,"32,45:7.5,9:18,22","35,42:9.5,10:18,20","255,45,r,19","265,40,r,20",,,,,,"255,45,r,18","255,40,r,19","275,35,r,20","255,30,r,22",,,,,"255,45,r,18:285,40,r,18","255,40,r,19:285,35,r,19","245,40,r,20:275,35,r,20",
2013,AUDI,A8 W12,5x112,57.1,"32,45:7.5,9:18,22","35,42:9.5,10:18,20","255,45,r,19","265,40,r,20",,,,,,"255,45,r,18","255,40,r,19","275,35,r,20","255,30,r,22",,,,,,,,
2013,AUDI,ALLROAD,5x112,66.56,"32,45:8,9:19,20",,"245,45,r,18","245,40,r,19","245,35,r,20",,,,,"245,45,r,18","245,40,r,19","245,35,r,20",,,,,,,,,
2013,AUDI,Q5 2.0T,5x112,66.56,"20,34:7.5,8.5:19,24",," 235,60,r,18","235,55,r,19",,,,,,"255,45,r,20","255,35,r,22","275,25,r,24",,,,,,,,,
2013,AUDI,Q5 3.0,5x112,66.56,"20,34:7.5,8.5:19,24",,"235,55,r,19","255,45,r,20",,,,,,"255,35,r,22","275,25,r,24",,,,,,,,,,
2013,AUDI,Q5 HYBRID,5x112,66.56,"20,34:7.5,8.5:19,24",,"235,55,r,19","255,45,r,20",,,,,,"255,35,r,22","275,25,r,24",,,,,,,,,,
2013,AUDI,Q7 3.0 S-LINE,5x130,71.5,"42,55:8.5,11:18,24",,"275,45,r,20","295,35,r,21",,,,,,"295,30,r,22","275,25,r,24",,,,,,,,,,
2013,AUDI,Q7 3.0T,5x130,71.5,"42,55:8.5,11:18,24",,"255,55,r,18","265,50,r,19","275,45,r,20",,,,,"295,35,r,21","295,30,r,22","275,25,r,24",,,,,,,,,
2013,AUDI,Q7 TDI,5x130,71.5,"42,55:8.5,11:18,24",,"265,50,r,19","275,45,r,20","295,35,r,21",,,,,"295,30,r,22","275,25,r,24",,,,,,,,,,
2013,AUDI,R8 4.2 - 5.2 OPT TIRE PKG,5x112,57.1,"34,50:7.5,8.5:19,20","38,50:9.5,11:19,20",,,,,,"235,35,r,19:305,35,r,19",,"235,35,r,19","235,30,r,20",,,,,,,"235,35,r,19:305,35,r,19","235,30,r,20:305,25,r,20",,
2013,AUDI,R8 4.2 - 5.2 STD TIRE PKG,5x112,57.1,"34,50:7.5,8.5:19,20","38,50:9.5,11:19,20",,,,,,"235,35,r,19:295,30,r,19",,"235,35,r,19","235,30,r,20",,,,,,,"235,35,r,19:295,30,r,19","235,30,r,20:305,25,r,20",,
2013,AUDI,RS5,5x112,66.6,"20,35:9,9.5:19,20",,"265,35,r,19","275,30,r,20",,,,,,,,,,,,,,,,,
2013,AUDI,S4 3.0,5x112,66.6,"32,45:8,8.5:18,20","35,45:9.9.5:18,20","245,40,r,18","255,35,r,19",,,,,,"245,40,r,18","255,35,r,19","255,30,r,20",,,,,,"245,40,r,18:275,35,r,18","245,35,r,19:275,30,r,19","245,30,r,20:285,25,r,20",
2013,AUDI,S5,5x112,66.6,"20,34:8,8.5:19,20","20,35:9,10:19,20","245,40,r,18","255,35,r,19",,,,,,"265,30,r,20",,,,,,,,"255,35,r,19:285,30,r,19","255,30,r,20:285,25,r,20",,
2013,AUDI,S6,5x112,57.1,"32,45:7.5,8.5:18,20","35,45:9,10:18,20","255,40,r,19","255,35,r,20",,,,,,,,,,,,,,,,,
2013,AUDI,S7,5x112,66.6,"20,35:8,8.5:19,20","35,45:9,10:18,20","255,40,r,19","265,35,r,20",,,,,,,,,,,,,,,,,
2013,AUDI,S8,5x112,57.1,"20,35:8,8.5:19,20","35,45:9,10:18,20","265,35,r,21",,,,,,,,,,,,,,,,,,
2013,AUDI,TT 2.0,5x112,57.1,"20,35:8,8.5:19,20","25,40:9,9.5:18,20","245,40,r,18",,,,,,,"255,35,r,19","255,30,r,20",,,,,,,"235,40,r,18:265,35,r,18","235,35,r,19:265,30,r,19","235,40,r,18:265,35,r,18",
2013,AUDI,TT RS,5x112,57.1,"32,45:7.5,8.5:19,20","25,40:9,9.5:19,20","255,35,r,19",,,,,,,"255,30,r,20",,,,,,,,"235,35,r,19:265,30,r,19",,"235,35,r,19:265,30,r,19",
2013,AUDI,TTS,5x112,57.1,"32,45:7.5,8.5:19,20","25,40:9,9.5:19,20","255,35,r,19",,,,,,,"255,30,r,20",,,,,,,,"235,35,r,19:265,30,r,19",,,
2013,BENTLEY,CONTINENTAL FLYING SPUR,5x112,57.1,"20,40:8.5,9:19,22","20,40:9.5,10.5:19,22","275,40,r,19","275,35,r,20",,,,,,,,,,,,,,"275,35,r,20:295,35,r,20","255,35,r,21:285,30,r,21","265,30,r,22:295,25,r,22",
2013,BENTLEY,CONTINENTAL GT,5x112,57.1,"20,40:8.5,9:19,22","20,40:9.5,10.5:19,22","275,40,r,20","275,35,r,21",,,,,,"265,30,r,22",,,,,,,,"275,35,r,20:295,35,r,20","255,35,r,21:285,30,r,21","265,30,r,22:295,25,r,22",
2013,BENTLEY,CONTINENTAL GTC,5x112,57.1,"20,40:8.5,9:19,22","20,40:9.5,10.5:19,22","275,40,r,20","275,35,r,21",,,,,,"265,30,r,22",,,,,,,,"275,35,r,20:295,35,r,20","255,35,r,21:285,30,r,21","265,30,r,22:295,25,r,22",
2013,BENTLEY,CONTINENTAL SUPERSPORTS,5x112,57.1,"20,40:8.5,9:19,22","20,40:9.5,10.5:19,22","275,35,r,20",,,,,,,"275,35,r,21","265,30,r,22",,,,,,,"275,35,r,20:295,35,r,20","255,35,r,21:285,30,r,21","265,30,r,22:295,25,r,22",
2013,BENTLEY,MULSANNE,5x130,71.5,"20,40:8.5,9:19,22","20,40:9.5,10.5:19,22","265,45,r,20","265,40,r,21",,,,,,,"265,30,r,22",,,,,,,"275,35,r,20:295,35,r,20","255,35,r,21:285,30,r,21","265,30,r,22:295,25,r,22",
2013,BMW,1 SERIES 128,5x120,72.56,"34,42:7.5,8.5:17,20","35,45:9,9.5:17,20","205,55,r,16","205,50,r,17",,,,"205,50,r,17:225,45,r,17",,"225,45,r,17","225,40,r,18","235,35,r,19","225,30,r,20",,,,,"215,40,r,18:245,30,r,18","225,35,r,19:255,30,r,19",,
2013,BMW,1 SERIES 135,5x120,72.56,"34,42:7.5,8.5:17,20","35,45:9,9.5:17,20","205,50,r,17",,,,,"215,40,r,18:245,35,r,18",,"225,40,r,18","235,35,r,19","225,30,r,20",,,,,,"225,35,r,19:255,30,r,19",,,
2013,BMW,1 SERIES 135 IS,5x120,72.56,"34,42:7.5,8.5:17,20","35,45:9,9.5:17,20",,,,,,"215,40,r,18:245,35,r,18",,"225,40,r,18","235,35,r,19","225,30,r,20",,,,,,"225,35,r,19:255,30,r,19",,,
2013,BMW,3 SERIES 328,5x120,72.56,"34,45:7.5,8.5:17,20","40,45:9,10:18,20","225,45,r,17","225,40,r,18",,,,"225,45,r,17:255,40,r,17","225,40,r,18:255,35,r,18","225,45,r,17","225,40,r,18","225,35,r,19","235,30,r,20",,,,,"235,35,r,19:265,30,r,19","235,30,r,20:255,30,r,20",,
2013,BMW,3 SERIES 335,5x120,72.56,"34,45:7.5,8.5:17,20","40,45:9,10:18,20","225,45,r,17",,,,,"225,45,r,17:255,40,r,17","225,40,r,18:255,35,r,18","225,45,r,17","225,40,r,18","225,35,r,19","235,30,r,20",,,,,"235,40,r,18:265,35,r,18","235,35,r,19:265,30,r,19","235,30,r,20:255,30,r,20",
2013,BMW,3 SERIES 335 IS,5x120,72.56,"34,45:7.5,8.5:17,20","40,45:9,10:18,20",,,,,,"225,40,r,18:255,35,r,18","225,35,r,19:255,30,r,19","225,45,r,17","225,40,r,18","225,35,r,19","235,30,r,20",,,,,"235,40,r,18:265,35,r,18","235,35,r,19:265,30,r,19","235,30,r,20:255,30,r,20",
2013,BMW,3 SERIES ACTIVE HYBRID 3,5x120,72.56,"34,45:7.5,8.5:17,20","40,45:9,10:18,20","225,45,r,18",,,,,"225,45,r,18:255,40,r,18","225,40,r,19:255,35,r,19","225,45,r,17","225,40,r,18","225,35,r,19","235,30,r,20",,,,,"235,40,r,18:265,35,r,18","235,35,r,19:265,30,r,19","235,30,r,20:255,30,r,20",
2013,BMW,5 SERIES 528 SEDAN,5x120,72.56,"15,25:7.5,8.5:17,20","15,30:9,10:18,20","225,55,r,17","245,45,r,18",,,,"245,45,r,18:275,40,r,18",,"245,35,r,19","245,30,r,20",,,,,,,"245,40,r,19:275,35,r,19","245,35,r,20:285,30,r,20",,
2013,BMW,5 SERIES 535 SEDAN,5x120,72.56,"15,25:7.5,8.5:17,20","15,30:9,10:18,20","245,45,r,18",,,,,"245,40,r,19:275,35,r,19",,"245,35,r,19","245,30,r,20",,,,,,,"245,35,r,20:285,30,r,20",,,
2013,BMW,5 SERIES 550 SEDAN,5x120,72.56,"15,30:8,9:18,22","15,30:9.5,10.5:18,22","245,45,r,18",,,,,"245,40,r,19:275,35,r,19",,"245,40,r,19","245,35,r,20","255,30,r,22",,,,,,"245,35,r,20:285,30,r,20","255,30,r,22:295,25,r,22",,
2013,BMW,5 SERIES ACTIVE HYBRID 5,5x120,72.56,"15,30:8,9:18,22","15,30:9.5,10.5:18,22","245,45,r,18",,,,,,,"245,40,r,19","245,35,r,20","255,30,r,22",,,,,,"255,30,r,22:295,25,r,22",,,
2013,BMW,5 SERIES GRAND TURISMO,5x120,72.56,"15,30:8,9:18,22","15,30:9.5,10.5:18,22","245,50,r,18",,,,,"245,45,r,19:275,40,r,19","245,40,r,20:275,35,r,20","245,40,r,19","245,35,r,20","255,30,r,22",,,,,,"255,30,r,22:295,25,r,22",,,
2013,BMW,6 SERIES 640,5x120,72.56,"15,30:8,9:18,22","15,30:9.5,10.5:18,22","245,45,r,18",,,,,"245,40,r,19:275,35,r,19","245,35,r,20:275,30,r,20","245,40,r,19","245,35,r,20","255,30,r,22",,,,,,"255,30,r,22:295,25,r,22",,,
2013,BMW,6 SERIES 640 GRAN COUPE,5x120,72.56,"15,30:8,9:18,22","15,30:9.5,10.5:18,22","245,45,r,18",,,,,"245,40,r,19:275,35,r,19","245,35,r,20:275,30,r,20","245,40,r,19","245,35,r,20","255,30,r,22",,,,,,"255,30,r,22:295,25,r,22",,,
2013,BMW,6 SERIES 650,5x120,72.56,"15,30:8,9:18,22","15,30:9.5,10.5:18,22","245,40,r,19",,,,,"245,40,r,19:275,35,r,19","245,35,r,20:275,30,r,20",,,,,,,,,"245,35,r,21:285,30,r,21","255,30,r,22:295,25,r,22",,
2013,BMW,6 SERIES 650 GRAN COUPE,5x120,72.56,"15,30:8,9:18,22","15,30:9.5,10.5:18,22","245,40,r,19",,,,,"245,40,r,19:275,35,r,19","245,35,r,20:275,30,r,20",,,,,,,,,"245,35,r,21:285,30,r,21","255,30,r,22:295,25,r,22",,
2013,BMW,7 SERIES 740,5x120,72.56,"15,30:8,9:18,22","15,30:9.5,10.5:18,22","245,50,r,18",,,,,"245,45,r,19:275,40,r,19","245,40,r,20:275,35,r,20",,,,,,,,,"245,35,r,21:285,30,r,21","265,30,r,22:295,25,r,22",,
2013,BMW,7 SERIES 750,5x120,72.56,"15,25:8,9:18,22","20,30:9.5,10.5:20,22","245,45,r,19",,,,,"245,45,r,19:275,40,r,19","275,35,r,20:245,35,r,21","245,50,r,18","245,45,r,19","245,40,r,20","265,30,r,22",,,,,"245,35,r,21:285,30,r,21","265,30,r,22:295,25,r,22",,
2013,BMW,7 SERIES 760,5x120,72.56,"15,25:8,9:18,22","20,30:9.5,10.5:20,22",,,,,,"245,45,r,19:275,40,r,19","245,40,r,20:275,35,r,20","245,50,r,18","245,45,r,19","245,40,r,20","265,30,r,22",,,,,"245,35,r,21:285,30,r,21","265,30,r,22:295,25,r,22",,
2013,BMW,7 SERIES ACTIVE HYBRID 750,5x120,72.56,"15,25:8,9:18,22","20,30:9.5,10.5:20,22",,,,,,"245,45,r,19:275,40,r,19",,"245,50,r,18","245,45,r,19","245,40,r,20","265,30,r,22",,,,,"245,40,r,20:275,35,r,20","245,35,r,21:285,30,r,21","265,30,r,22:295,25,r,22",
2013,BMW,7 SERIES ALPINA B7,5x120,72.56,"15,25:8,9:20,22","20,30:9.5,10.5:20,22",,,,,,"245,35,r,21:285,30,r,21",,"245,40,r,20","245,35,r,21","265,30,r,22",,,,,,"245,40,r,20:275,35,r,20","245,35,r,21:285,30,r,21","265,30,r,22:295,25,r,22",
2013,BMW,M3,5x120,72.56,"20,34:8,8.5:18,20","20,30:9,10:18,20",,,,,,"245,40,r,18:265,40,r,18","245,35,r,19:265,35,r,19","245,40,r,18","245,35,r,19","245,30,r,20",,,,,,"245,40,r,18:265,40,r,18","245,35,r,19:265,35,r,19","245,30,r,20:275,30,r,20",
2013,BMW,M5,5x120,72.56,"15,25:8,8.5:19,20","20,30:9,10.5:19,20",,,,,,"265,40,r,19:295,35,r,19","265,35,r,20:295,30,r,20","255,40,r,19","255,35,r,20",,,,,,,,,,
